"FSC-A","FSC-H","SSC-A","B515-A","G610-A","V450-A","Time"
60724.9,42394,107441,99.06,113.4,74.4,4.94461
99127.6,76803,72288.8,80.34,69.66,85.56,4.94566
108786,82667,97634.9,124.8,64.26,1203.42,4.97724
66277.1,49629,59551.4,61.62,82.08,54.87,4.99618
95363.3,67268,70059.6,112.32,94.5,1219.23,4.99829
148119,106162,132894,159.12,129.6,119.97,5.01513
110030,81322,75317.6,111.54,139.86,2368.71,5.01723
111904,67663,130822,141.18,120.96,155.31,5.02776
80245,61182,111903,115.44,128.52,1977.18,5.05512
163148,113173,138921,244.92,410.4,3255,5.05828
181863,130502,125685,190.32,167.4,4159.89,5.0667
91628.9,70167,84445.9,96.72,109.08,3115.5,5.06986
71198.8,57363,69218,71.76,111.24,2494.26,5.07302
181337,127684,131921,213.72,173.88,2879.28,5.08144
105251,76118,66329.6,120.12,84.78,1253.64,5.08565
147092,104264,95695.1,142.74,133.38,1262.01,5.09407
102154,73987,125270,201.24,79.92,1868.37,5.11406
133710,89300,159181,250.38,243.54,4895.52,5.13827
72006.1,57719,60539.7,50.7,51.84,1156.92,5.1488
131462,93764,135417,214.5,125.28,4701.15,5.16669
92045.3,66415,84699.4,76.44,90.72,106.95,5.173
86724.6,62475,97676.3,104.52,135,2994.6,5.18774
166926,117399,132023,135.72,144.18,130.2,5.21089
126238,83978,111050,208.26,219.78,955.11,5.22458
90225.9,72189,57218.5,81.9,99.9,1496.37,5.23615
93718.5,63979,113347,119.34,109.62,2103.66,5.23721
124230,83887,93002.5,173.16,164.16,3811.14,5.24668
156874,114060,94811.3,166.92,98.28,2081.34,5.24984
83653.9,62066,82557.5,117,114.48,2409.63,5.25089
54092.9,42134,91449.5,88.14,104.22,2892.3,5.25089
86640.1,60899,58876,88.14,83.16,1857.21,5.25299
74394.3,50738,108769,152.88,91.8,2530.53,5.25615
102907,79475,84699.4,90.48,95.04,95.79,5.26562
194504,127588,121129,163.8,144.18,132.06,5.27088
107211,81507,76361.2,96.72,107.46,3320.1,5.27615
108371,77563,79033.5,122.46,86.94,1770.72,5.28983
102485,70916,69556.5,84.24,69.66,79.98,5.30667
50947.9,36803,64380.4,71.76,97.74,2086.92,5.30667
103665,79331,91015.1,122.46,97.2,2254.32,5.31404
129468,96652,79713.7,109.98,112.32,1089.03,5.33193
116040,80124,105798,108.42,139.32,3167.58,5.35087
90943.2,60323,121558,141.18,181.44,134.85,5.35193
92897.7,69592,66643.2,95.94,118.26,1271.31,5.38245
74482,48610,125399,167.7,57.24,646.35,5.40981
96511.1,67010,67197.8,99.06,77.76,4076.19,5.41297
82693.2,61932,70218.7,156.78,116.64,2435.67,5.41929
54022.6,39619,93632,136.5,65.88,3433.56,5.42876
112599,76507,101119,150.54,139.32,2965.77,5.45823
137985,96610,107441,131.82,137.7,2402.19,5.48033
163875,115298,94756,142.74,112.86,2802.09,5.48033
174441,118913,151497,227.76,171.18,2431.95,5.55716
153026,99210,136957,173.16,214.38,4475.16,5.56137
152920,107427,105056,94.38,126.36,156.24,5.56558
63896.8,45786,92378.5,75.66,81.54,755.16,5.56664
99470.5,70395,111947,145.08,68.04,1521.48,5.5719
88265.9,63966,90208.6,116.22,99.9,2806.74,5.62242
157578,114595,97506.2,141.96,88.56,120.9,5.64347
127413,84939,105754,131.04,145.8,164.61,5.67925
72248.7,55473,97737.1,63.18,97.74,61.38,5.68662
109255,84951,76442.3,88.14,107.46,1560.54,5.68872
145480,96948,120131,156,156.6,93,5.69714
90425,67485,74001.7,53.04,90.72,54.87,5.71188
