"FSC-A","FSC-H","FSC-W","SSC-A","BL1-A","RL1-A","RL2-A","VL1-A","YL2-A","Time"
439960,242401,110,472231,198,44,3,15448,190,0.664744
327329,225415,95,207515,-13,51,-5,2260,139,0.664744
398211,247632,106,337471,144,0,36,8029,36,0.666741
356434,217312,105,364474,129,16,0,4091,25,0.670733
394636,239068,102,259851,215,32,10,9968,95,0.670733
371116,246842,107,358014,10,20,22,130,-48,0.671731
361455,231029,105,303844,16,69,49,8313,1,0.681712
476523,286736,116,377841,44,18,-14,235,37,0.683709
250078,177676,90,138228,-11,43,34,17,14858,0.690695
440726,259545,102,301997,-24,10,76,4036,14,0.690695
169679,117755,87,230098,7,43,-18,4,-93,0.690695
318288,228825,92,181090,38,100,50,3126,-43,0.691693
313269,230153,103,166836,-118,76,93,2795,82,0.691693
270099,206400,98,184584,-19,-29,10,3357,-20,0.69369
420865,261630,104,336384,77,23,1,6008,36,0.699678
415859,266977,101,386954,51,26,-12,5898,81,0.704669
266750,168571,95,244830,127,-15,32,3367,-5,0.706665
349449,232999,107,281900,71,74,-1,2505,-3,0.70966
285105,198074,103,198675,31,23,42,3954,-20,0.713652
367061,245515,98,242194,78,38,23,5248,8,0.717644
316800,177474,104,422300,49,-18,32,5349,9,0.722635
328265,215854,97,278945,-3,34,-1,11454,-19,0.724631
459478,268611,108,522766,124,12,27,14922,-131,0.726628
165141,114195,89,294669,85,19,8,3104,-10,0.726628
447921,287575,98,202923,2,15,45,274,22,0.727626
355842,223846,105,424433,44,78,51,7030,81,0.73062
340877,211997,97,490972,61,32,40,8727,155,0.73062
397719,245674,106,415874,-36,84,63,4421,-9,0.731618
416768,261852,111,368588,-30,33,13,5056,143,0.733614
417544,244640,107,434493,194,-32,16,8411,-23,0.733614
446515,265897,103,272570,71,38,32,10214,41,0.734612
348584,230818,94,277531,168,-21,-26,4220,35,0.740601
292659,215493,92,250101,64,69,-19,2642,15,0.741599
374625,243385,100,246679,-20,75,-9,5757,82,0.741599
354245,241684,104,210726,73,15,-56,899,0,0.742597
278807,183901,96,349240,53,-62,60,6739,103,0.745592
307909,232228,92,145286,-37,-46,11,4452,-61,0.74659
201184,122350,96,374735,74,49,-8,348,50,0.749584
477491,248397,112,460951,-12,-38,88,13357,86,0.749584
399403,263363,100,287803,60,48,14,6307,19,0.75158
214287,137857,94,202705,55,77,43,146,8707,0.75158
318154,219298,95,208544,67,37,10,2594,59,0.753577
283876,188853,94,191578,-30,46,-12,4156,-46,0.754575
234705,159318,94,290582,38,37,25,2006,-33,0.758567
374882,234908,100,304833,6,5,52,1843,71,0.759565
196596,134503,90,210751,39,18,-12,112,-22,0.760563
322067,225305,98,160102,51,36,-22,2918,-32,0.76256
228190,152844,95,215575,-31,-62,63,3506,110,0.76256
447374,248332,114,350103,121,-20,2,9164,-26,0.765554
323843,233454,94,166539,4,-4,23,2241,50,0.765554
368758,226766,98,277076,-5,12,7,7690,31,0.765554
326101,216665,94,172486,72,-20,14,4643,27,0.766552
472031,229747,112,610189,157,78,18,17423,129,0.771543
305455,212498,104,306136,201,17,139,4770,176,0.772541
243741,129083,111,370738,144,45,37,5957,78,0.772541
399410,235368,104,466593,-7,-33,47,4239,161,0.772541
291733,194791,104,256830,2,57,96,6402,30,0.774537
541960,280006,112,306811,199,20,-29,14676,54,0.774537
432357,261900,106,352124,11,47,39,135,16,0.775535
324130,199029,101,465875,92,104,20,1010,7,0.776533
271419,185998,97,216307,39,16,32,2780,69,0.778529
400910,264113,102,296890,4,21,15,118,133,0.778529
234703,169248,89,82876,9,53,-41,1385,25,0.778529
515069,267170,125,337022,35,33,-53,3504,-66,0.785516
407321,253182,101,310533,94,16,-21,5480,96,0.785516
407693,245870,112,362866,41,80,-15,9314,29,0.787512
257233,170335,96,185658,97,-64,-7,3536,39,0.789509
249529,194744,87,117252,23,-42,-19,-95,19,0.790507
371463,236250,99,300433,19,-6,-30,5885,12,0.790507
434119,259132,107,245683,83,37,58,4087,6,0.792503
307379,203986,106,277312,13,56,36,320,10,0.793501
322357,194903,97,288402,120,-24,-13,3618,-44,0.800488
391097,244148,108,381338,11,-34,62,4747,71,0.805479
365245,235635,101,233160,137,56,-23,4185,69,0.812465
257177,159112,94,234584,113,27,69,4054,113,0.812465
465156,258338,118,544993,132,9,40,10581,121,0.813464
347749,215486,97,303759,50,25,-47,2834,34,0.813464
310730,215650,96,194566,44,44,55,3255,-49,0.814462
343559,221877,107,268680,18,70,-13,327,8,0.81546
395051,246161,101,316627,63,39,-11,8210,56,0.817456
400397,241114,104,410649,35,87,47,7725,-2,0.819452
285086,184191,98,334603,16,-30,88,83,4,0.819452
288632,215267,86,199637,156,13,39,-36,-2,0.830431
357347,232023,96,225896,53,-2,-8,3873,3,0.83143
