"FSC-A","FSC-H","SSC-A","B515-A","G610-A","V450-A","Time"
50266.9,42442,46138.6,22.62,48.06,3.72,2.54141
104401,82235,62643.4,85.02,10582.9,267.84,2.54604
117452,92116,89306.1,104.52,496.26,300.39,2.54604
116849,91399,83846.1,117,16079,234.36,2.54719
127820,96273,81096.6,98.28,2658.42,310.62,2.54835
121884,92097,123859,160.68,2204.82,219.48,2.54835
115519,92966,70873.9,626.34,10748.2,241.8,2.55644
139670,106003,115841,165.36,1800.36,301.32,2.55875
121205,93967,89131.4,339.3,7036.2,285.51,2.57146
130213,99414,109186,107.64,15120,376.65,2.57377
140118,101873,117010,104.52,1987.2,438.96,2.57493
134453,95783,111453,117.78,43189.7,429.66,2.58186
107066,85666,74581.3,88.92,2046.6,190.65,2.58302
95358.5,73393,49884.9,60.06,4020.3,267.84,2.58649
61605.8,45673,118941,21.84,63.18,-3.72,2.58764
127581,87794,125005,344.76,5093.28,430.59,2.5888
179573,104487,140419,169.26,31635.9,334.8,2.5992
90743.4,72407,64853.1,70.98,1529.28,248.31,2.61076
107175,84170,70073.6,958.62,12928.1,149.73,2.61538
103365,81522,77241.1,103.74,6563.7,350.61,2.61769
137282,98950,138923,132.6,11514.4,312.48,2.63271
130714,97467,84659.6,112.32,138.24,414.78,2.63503
59108.6,44146,99477.3,3.9,28.08,-9.3,2.63849
46091.8,41587,77833.9,25.74,61.56,12.09,2.64889
98042.2,69586,103198,109.98,2470.5,212.97,2.65121
95931.3,77538,78545.2,74.88,1857.06,164.61,2.65583
108036,79743,85975.5,91.26,6609.6,210.18,2.66623
113314,86879,73919,98.28,6558.3,310.62,2.66739
113762,82168,97515.6,124.02,360.18,395.25,2.67779
106188,85241,74463.5,91.26,832.68,195.3,2.69859
140017,101683,108384,131.04,32869.3,342.24,2.70552
52028.6,39347,71543.9,31.2,63.18,-2.79,2.71477
48566.8,38018,94322.3,11.7,72.9,7.44,2.71708
123686,88088,123769,170.04,827.28,319.92,2.71939
92772.1,73120,59422,63.96,2249.64,210.18,2.72286
61084.4,49859,95178.7,17.16,52.38,-4.65,2.72517
52379.4,45627,110374,49.14,86.4,5.58,2.72633
96673.1,75213,82338.4,89.7,23509.4,238.08,2.72864
109972,81697,80900,102.96,181.44,340.38,2.75406
119846,92550,121248,131.82,478.98,253.89,2.75638
114631,88777,71791.2,102.18,10123.9,255.75,2.75869
111977,88956,76138.1,90.48,1073.52,233.43,2.76215
119939,90979,77255.1,111.54,163.08,252.96,2.7714
143736,108295,132325,184.86,569.16,222.27,2.7714
73191.1,38907,99801,1091.22,13308.3,226.92,2.7714
142529,105198,98166.1,138.06,12497.2,180.42,2.7714
180519,128676,129177,173.16,20686.9,520.8,2.77718
95545.8,73981,127571,156,6312.06,272.49,2.77833
142180,109205,109989,134.16,6474.6,236.22,2.77949
119173,85911,107190,140.4,1819.8,332.94,2.77949
159085,120355,87721.1,132.6,1278.18,290.16,2.79105
88666.4,62414,81680,85.8,21908.9,240.87,2.80492
68978.1,51074,102255,28.08,100.44,7.44,2.80492
42551,39116,54240.4,27.3,43.2,6.51,2.80607
102444,83148,63878.1,125.58,3672,318.06,2.81416
115753,89715,80925.8,114.66,655.56,222.27,2.81994
168523,120565,91544.7,180.96,21664.3,461.28,2.83496
106341,81034,67515.2,80.34,1688.04,212.97,2.83843
116973,91591,67009,107.64,1434.24,252.96,2.85114
140836,107422,89626.7,107.64,23280.5,354.33,2.88004
149192,108041,144107,163.02,2392.74,397.11,2.89159
109513,84862,102974,99.84,835.38,228.78,2.89506
150293,109705,125057,144.3,9877.68,403.62,2.89853
89341.9,72474,57205.2,60.84,14253.3,118.11,2.89968
115943,84656,86880.3,88.14,5687.82,221.34,2.90431
118831,94798,83860.9,1091.22,12708.4,188.79,2.90662
98986.2,76794,69777.2,573.3,10945.8,124.62,2.90777
81189.9,63350,60322.1,83.46,1092.96,175.77,2.92395
131778,92267,109624,147.42,1240.38,318.06,2.94822
111440,86647,90490.1,95.16,1133.46,330.15,2.96556
139303,107518,114786,1060.8,22928.9,204.6,2.97365
105191,85592,68967.6,89.7,2089.26,184.14,2.97827
101703,81022,71687.5,67.86,28163.7,260.4,2.98405
205120,122120,153438,201.24,34933.7,290.16,2.98867
114396,87544,87732.8,110.76,5793.12,279.93,3.00485
109851,86521,72618.8,85.8,16848,206.46,3.01179
44627.1,40896,87555.8,3.12,65.34,9.3,3.01294
101375,78176,78202.8,84.24,9748.62,197.16,3.0141
144442,97540,134630,113.88,34409.3,248.31,3.0141
58941.9,45543,128126,17.94,82.08,13.95,3.01988
115869,84037,89288.2,90.48,1458,254.82,3.02797
201392,138238,125091,195,7964.46,186.93,3.0349
108525,80188,114598,322.14,6522.12,280.86,3.03837
114269,90323,89329.5,101.4,4188.24,217.62,3.03837
127636,101084,77958.7,95.16,818.64,210.18,3.04993
63893.6,43247,119685,16.38,38.34,8.37,3.06842
121346,92790,89066.6,141.96,739.8,211.11,3.0742
98655.2,74698,103844,104.52,2527.2,284.58,3.09038
48137.9,42443,76039.1,-2.34,101.52,-13.02,3.09616
95391.7,70094,146542,167.7,3387.96,245.52,3.09616
99551.9,75566,93281.8,99.06,8919.18,236.22,3.09731
