"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
49155.4,29451,109383,23247,15119,100768,-0.82,2087.22,4968.22,68590.1,88.36,9094.5,-20.72,0,0.304966
26294.1,16466,104653,15858,12326,84315.2,5.74,2214.07,5047.77,63986.6,64.86,3546.9,-21.84,0,0.306032
38844.4,22120,115086,30741,18177,110835,5.74,1689.04,4305.59,67183.6,123.14,7776.9,-8.96,0,0.306032
26800.9,18204,96485.6,25593,19196,87375.7,34.44,779.59,1674.42,54486,43.24,2501.1,-7.84,0,0.307099
20802.6,13713,99418,12278.7,9401,85596.8,-4.92,1200.13,3175.12,60157.5,35.72,2751.3,-0.56,0,0.307099
15180.9,10129,98222.5,26150.6,17149,99936.3,23.78,1422.87,3068.48,66128.2,36.66,155.7,3.92,4211.49,0.307099
43180.2,26209,107973,23753.8,17081,91137.9,10.66,2931.74,7579.61,66258.2,72.38,2461.5,0,0,0.310298
17010.7,11870,93918.5,13269.2,10515,82702.1,29.52,1160.57,2696.96,64436,47,4563,-5.6,0,0.310298
33776.4,15730,140723,44795,25770,113919,37.72,1758.27,4101.34,70436.4,174.84,12758.4,8.4,8879.07,0.311364
26320,16862,102296,17997.4,13754,85755.1,45.1,1314.51,3488.16,74462.6,60.16,7028.1,15.12,19429.5,0.313497
26100.2,17438,98090.5,24336.8,18195,87657.9,35.26,3672.63,9398.94,67488.6,105.28,7702.2,12.32,15831.4,0.313497
22038.8,14214,101614,25135.5,17557,93824.5,32.8,40.42,81.27,44757.2,175.78,16658.1,5.6,7340.03,0.314563
35739.9,22063,106162,20008.8,15042,87175.8,10.66,1543.27,3648.98,71878.4,50.76,3931.2,3.92,6760.56,0.315629
13921.6,8783,103879,15009.3,10306,95444.2,-4.1,1680.01,3700.15,78962.2,84.6,9486,23.52,40563.3,0.315629
26364.1,14462,119472,19969.5,13379,97818.9,22.96,1363.53,3105.89,66649.5,53.58,4064.4,-1.68,0,0.316695
