"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
43383.2,26074,109042,30169.4,21326,92712.4,96268.8,4220.88,5283.41,145058,89.3,1210.5,47321.1,78745.6,0.416475
28237.3,18572,99642.4,16012.1,12085,86832.6,36.9,1449.53,3368.62,66038.3,62.04,4156.2,27.44,27666.3,0.419746
48591.9,30487,104455,18002.3,12991,90816.5,39.36,4606.59,10626.6,64447.9,160.74,11136.6,40.32,44786.6,0.419746
41101.9,25846,104219,22829.6,16634,89946,22.96,36.98,48.16,30642.9,93.06,5319,31.92,49807.4,0.420836
36761.9,21831,110358,21400.4,15323,91528.7,24.6,249.83,544.81,41229.4,118.44,5086.8,45.92,51007,0.421926
24427.2,14098,113552,22718.1,17234,86390.5,42.64,1627.98,3879.89,70631.2,80.84,4333.5,21.84,23085.6,0.423016
73678.5,40647,118793,42717.1,28267,99038,28.7,4230.77,9426.46,67390.9,197.4,8909.1,179.2,62802.4,0.423016
25032,16844,97393.6,25499.5,21816,76601.5,36.9,2275.99,5156.99,71151.3,28.2,2121.3,37.52,50181.8,0.425197
15584.8,8795,116130,41953.7,25448,108043,-7.38,5161.72,12522.5,80042.1,72.38,4067.1,20.72,28891.6,0.429558
14016.8,8017,114582,22728.8,15925,93535.4,-8.2,1333,2952.38,71688.5,49.82,3693.6,48.72,70953.6,0.430648
12785.5,8157,102723,24024.4,16905,93135.8,68844.7,1819.76,4078.55,63732,59.22,513.9,31.36,57089.1,0.430648
18230.8,11282,105901,17910.4,13894,84481,9.84,1944.03,4535.21,61817.7,54.52,3983.4,28.56,40689.3,0.431738
26009.2,16307,104528,20802.6,15219,89580,113.98,1305.48,2957.11,67407.7,61.1,2526.3,83.44,57561.3,0.431738
32515,21588,98707.8,33381.4,25240,86675.2,51485.3,398.18,975.24,55145.2,46.06,927,158.48,61822.3,0.432829
48430.2,30165,105219,21670.1,15253,93107.9,-3.28,2751.14,6879.57,67262.4,106.22,7229.7,-5.04,0,0.433919
