"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
351231,265518,92,123043,100740,88,-18,50,0,14,72,0,-26,86,0,0,77,0,29,90,0,0.138551
317877,217481,92,180835,134691,91,61,49,0,-20,76,0,-15,57,0,24,75,0,124,87,0,0.138551
416803,303348,99,129779,95310,95,21,36,0,-35,53,0,30,100,0,-47,79,0,10,53,0,0.138551
416537,286302,103,142338,99488,101,24,41,0,-32,43,0,42,73,0,91,84,0,22,45,0,0.139541
401751,282394,103,197444,144795,102,12,68,0,44,66,0,16,88,0,-47,58,0,53,81,0,0.14053
507554,292102,120,147771,100222,110,150,108,0,-27,84,0,8,54,0,-4,47,0,36,93,0,0.14152
472309,303513,102,311667,209753,107,128,75,0,76,69,0,45,91,0,-8,53,0,34,51,0,0.14152
326537,249639,94,99750,78061,92,1,67,0,-44,29,0,53,76,0,1781,1385,18,28,80,0,0.143499
443435,316508,101,165405,125719,101,5,61,0,29,61,0,-56,45,0,-37,87,0,62,40,0,0.143499
440734,284785,104,192705,132198,98,424,310,0,4,58,0,101,73,0,84,90,0,79,85,0,0.143499
452199,279381,99,178390,113952,100,104,83,0,59,74,0,6,71,0,2627,1988,26,1,27,0,0.143499
538083,315749,112,279822,170535,113,96,68,0,-6,48,0,-34,41,0,70,57,0,155,99,0,0.145479
487215,304675,111,251569,164323,106,25,72,0,9,68,0,62,79,0,99,78,0,-95,26,0,0.146468
342205,234397,112,368597,217977,105,33,67,0,23,78,0,26,84,0,-118,44,0,9,38,0,0.147458
506976,268426,113,297639,179906,110,514,426,0,-42,56,0,33,47,0,-14,67,0,43,65,0,0.150427
442450,292206,100,207026,145398,99,-30,59,0,-52,41,0,-25,60,0,139,58,0,123,78,0,0.150427
358101,226658,95,207360,144652,97,86,86,0,71,78,0,22,64,0,4869,3449,37,-20,39,0,0.150427
361695,259583,98,187232,138673,94,-27,92,0,57,71,0,45,61,0,2447,1843,26,78,77,0,0.151417
360467,249062,103,165258,124004,97,5,44,0,6,67,0,-13,44,0,-10,50,0,40,58,0,0.155375
373171,255982,100,208902,155683,97,5,69,0,-12,78,0,-81,66,0,2383,1663,24,-32,42,0,0.155375
614869,369778,115,284065,190661,111,582,533,0,37,57,0,-23,53,0,4701,3083,39,23,39,0,0.157354
438844,254712,108,317536,228295,105,176,162,0,30,67,0,43,88,0,-34,43,0,36,74,0,0.157354
563461,344757,106,270644,179869,104,106,94,0,15,92,0,40,78,0,5150,3367,40,93,64,0,0.157354
339520,230171,98,197977,145049,96,15,53,0,3,67,0,21,54,0,48,66,0,71,60,0,0.158344
361670,264265,101,188325,145550,94,72,74,0,37,83,0,67,70,0,3800,2901,32,-20,36,0,0.159334
377635,286237,98,127312,97854,93,19,45,0,63,77,0,10,52,0,-90,47,0,123,98,0,0.160323
373453,278517,96,98122,75032,91,-46,90,0,-6,55,0,54,90,0,23,65,0,23,51,0,0.163292
331158,207308,98,267238,180553,100,15,41,0,89,89,0,-34,56,0,138,95,0,-28,24,0,0.163292
238181,171578,92,284734,190035,98,78,59,0,27,81,0,38,71,0,237,199,0,29,41,0,0.17022
529594,360909,108,250996,186793,102,31,52,0,58,98,0,93,122,0,3037,2106,31,4556,4346,32,0.174179
313554,239254,103,132615,97850,92,13,71,0,7,49,0,34,44,0,1650,1207,13,-48,27,0,0.177147
427613,311490,106,167445,127774,97,-59,42,0,63,127,0,30,63,0,-19,51,0,-74,29,0,0.179127
420491,286432,103,177740,129896,100,7,80,0,79,101,0,-113,2,0,32,68,0,41,26,0,0.180116
306196,226962,98,84102,66217,92,-83,44,0,-37,43,0,-47,30,0,-28,68,0,-54,52,0,0.180116
469979,309321,114,231324,160426,103,49,54,0,-6,53,0,-29,46,0,2945,2030,28,-35,34,0,0.182096
361274,271568,96,138875,103400,94,371,325,0,34,55,0,44,56,0,40,53,0,-19,37,0,0.183085
434526,298960,98,227005,163350,98,37,60,0,3,71,0,29,57,0,-9,42,0,43,70,0,0.183085
536126,344786,117,238674,165570,109,71,75,0,44,74,0,61,104,0,97,90,0,-29,30,0,0.185065
256026,193270,95,132262,103802,89,-46,53,0,72,89,0,23,81,0,-109,24,0,53,76,0,0.189023
403590,297876,98,124342,95712,94,-77,46,0,26,73,0,17,62,0,84,104,0,48,65,0,0.189023
366800,276188,94,125299,94915,94,-63,20,0,-13,66,0,-12,84,0,33,61,0,28,52,0,0.189023
392735,300024,94,147157,118902,93,219282,163723,98,260,250,0,281,212,0,244,322,0,38374,31071,85,0.190013
368813,288915,93,90860,71695,89,-192,31,0,-18,72,0,7,44,0,61,60,0,-32,43,0,0.190013
482216,284409,105,245289,160088,113,112,93,0,37,50,0,-38,62,0,9,76,0,19,61,0,0.193972
545823,334420,118,222164,149255,109,59,70,0,33,80,0,4,78,0,28,87,0,31,94,0,0.195951
492913,320384,108,241205,172118,102,71,56,0,16,69,0,18,86,0,-26,91,0,35,55,0,0.19694
359029,262868,98,132709,101908,94,260723,198298,97,462,415,0,314,315,0,252,316,0,53998,46069,83,0.19793
566087,355825,113,282308,188925,108,-108,18,0,0,55,0,-13,70,0,80,88,0,117,77,0,0.19892
594794,334824,117,283643,182103,112,99,69,0,8,78,0,-10,49,0,-53,64,0,17,50,0,0.202878
492420,318198,105,214367,143318,106,24,57,0,22,62,0,39,56,0,40,59,0,-24,58,0,0.203868
579952,305536,117,423263,236654,110,114,95,0,153,153,0,29,66,0,10,69,0,35,90,0,0.204858
433667,303502,98,211128,160870,98,97,73,0,-8,55,0,30,41,0,4007,2901,34,-22,56,0,0.204858
386364,261886,105,367022,269518,105,345146,247048,103,315,319,0,249,253,0,304,310,0,37944,32915,80,0.205847
445590,300238,105,143358,101598,101,-266,14,0,111,92,0,15,58,0,67,57,0,-40,51,0,0.206837
451788,298502,104,228365,165942,102,132,87,0,-10,49,0,54,101,0,9,71,0,75,73,0,0.209806
339426,238121,100,170652,126013,98,465,432,0,38,98,0,19,48,0,228,275,0,65,48,0,0.209806
339077,238985,95,87584,67679,95,13,85,0,-41,45,0,-24,37,0,109,127,0,15,48,0,0.209806
387175,294168,93,89793,70658,93,-100,25,0,-9,59,0,-1,66,0,-46,42,0,17,34,0,0.210796
427995,296992,108,151929,110261,100,-4,34,0,-45,45,0,3,47,0,162,105,0,69,63,0,0.212775
276624,217546,91,122281,99078,89,148,83,0,98,118,0,38,153,0,-138,27,0,121,89,0,0.212775
387647,245067,107,205340,146579,99,18,91,0,54,71,0,35,64,0,3374,2465,32,14,63,0,0.213765
495701,319473,110,155639,109177,101,15,69,0,-49,70,0,43,69,0,95,70,0,-60,34,0,0.214754
429548,309590,102,161235,119396,96,116,106,0,19,56,0,-121,17,0,-141,57,0,121,59,0,0.214754
404258,287473,107,160381,117552,106,205311,153550,96,311,299,0,251,227,0,142,221,0,39554,31966,84,0.214754
428394,274283,111,220044,161152,108,-6,45,0,-13,72,0,-40,28,0,2310,1679,25,17,38,0,0.216733
397996,293825,95,137005,106687,93,21,38,0,56,76,0,3,69,0,-13,41,0,-1,41,0,0.216733
287874,185481,101,243715,150502,101,1537,1421,14,10,38,0,91,89,0,-55,53,0,28,71,0,0.217723
447078,317026,103,156754,118284,98,-28,25,0,24,59,0,-31,32,0,47,106,0,150,69,0,0.218713
427392,292511,101,152949,107175,97,37,49,0,33,78,0,40,73,0,411,265,0,-2,29,0,0.219702
550057,325452,112,275083,190095,104,109,84,0,-11,101,0,1,55,0,-62,40,0,25,64,0,0.219702
329902,247589,92,177909,139034,93,0,70,0,29,53,0,59,63,0,3390,2476,32,89,66,0,0.220692
441773,328427,95,232843,185407,97,13,58,0,39,68,0,67,106,0,2898,2154,28,-38,26,0,0.220692
370272,287042,95,141008,108945,93,137,107,0,-69,20,0,-6,84,0,12,48,0,-52,26,0,0.220692
358123,239626,108,180040,127338,108,25,64,0,-60,47,0,-2,69,0,-1,55,0,4,57,0,0.220692
